id,x,label,cluster
621e2f1b67b776a240b3d87c,"[6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89 6677.89
 6677.89 6677.89 6677.89]",1,0
621e2f3967b776a240c654db,"[ 1447.   6172.   6221.   5673.  10560.  25362.   1199.   5765.   6947.
  5348.   6406.   8358.   8830.    385.   4796.   7102.   6206.   9334.
 10504.   5521.   1571.  10481.   7559.   5201.   5948.   6073.  11628.
  1197.   5663.   5589.   5705.   4815.   5386.   8318.    441.   5323.
  5868.   5021.   5842.   6233.    583.    827.  11808.   5475.   2310.
  5354.   6125.   6205.    821.  13026.   6217.   4896.   4555.  14642.
  5879.1  1563.   4560.   6482.   4200.   4759.   4007.   9575.     77.
  5213.   4996.     94. ]",1,0
621e2f9167b776a240011ccb,"[6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7
 6386.7 6386.7 6386.7 6386.7 6386.7 6386.7]",1,0
621e301e67b776a240608a72,"[12441.    9908.   10449.   13541.    1291.    7952.26  8276.   11465.
 11998.   18791.   14218.    8494.    7852.    7952.26  5864.    7952.26
 16993.   14394.   15457.    2488.     854.    6764.   13679.   14607.
  1398.    7952.26  7914.       0.       0.   11456.   17422.    8106.
  7770.    3572.    7952.26  9804.    8294.    5108.    8487.   12075.
 18519.    5547.   10474.    6616.   15140.   11510.    8522.   13330.
   554.   11486.   13829.    8923.   19052.    9760.    7952.26  7952.26
 11262.   15374.   20500.    2780.    7952.26  7952.26  7952.26  3292.
 21273.   13287.  ]",1,0
621e309b67b776a240b532b0,"[1.302726e+04 7.249000e+03 2.210400e+04 2.452600e+04 2.162300e+04
 8.068000e+03 1.991000e+04 2.522500e+04 1.296900e+04 1.539300e+04
 1.330800e+04 7.531000e+03 2.975900e+04 2.339900e+04 2.207800e+04
 3.630000e+02 1.148100e+04 8.258000e+03 1.285600e+04 2.690000e+04
 1.467400e+04 1.964100e+04 2.126300e+04 1.444600e+04 1.284700e+04
 1.065400e+04 5.214000e+03 2.473400e+04 1.610300e+04 1.220000e+02
 1.302726e+04 3.236600e+04 1.048500e+04 1.302726e+04 1.220700e+04
 1.167200e+04 1.674800e+04 5.801000e+03 1.662900e+04 3.615000e+03
 1.648900e+04 1.858900e+04 4.000000e+00 1.302726e+04 1.302726e+04
 1.302726e+04 0.000000e+00 1.302726e+04 0.000000e+00 6.050000e+02
 5.701000e+03 1.302726e+04 1.302726e+04 4.505000e+03 1.506000e+03
 0.000000e+00 1.418100e+04 9.826000e+03 7.831000e+03 2.472000e+03
 2.443000e+03 1.302726e+04 7.870000e+02 2.384900e+04 1.418500e+04
 2.157500e+04]",1,2
621e30c867b776a240d4aa6c,"[12760. 14117.  8875.  9481. 14584. 18146. 12579. 13811.  3884.  5739.
  6551.  9568.  8706. 14675.  4973.  8601.  8072.  9084.  9037.  8843.
 12719.  6448. 10514. 12591.  5359.  7928. 12164.  9380.  7229.  8408.
  7753.  5936.  4089.  4264.  5307.  9737. 12688.  7963.  9808. 12521.
 11513.  6290. 15392. 11046. 10923. 12284.  3369. 18748.  8592.  6975.
  4858. 10539.  7196. 11976.  5330.   565.  9553. 19042. 16186.  9372.
  7222. 10958.  5056. 12247.  7376. 10516.]",1,2
621e30f467b776a240f22944,"[ 9446.81  3116.    7473.   17054.   12024.    2321.    9446.81  9446.81
  9446.81  9446.81  9446.81  9446.81  9446.81  1369.    6724.    4959.
  8067.   23480.   28740.    3188.    4960.    6946.    4177.    5150.
 13150.   12269.    3557.    2780.    1758.    8092.    8733.   12173.
 10744.    6811.   11256.    4790.    4890.    2326.   12270.   31513.
 27545.   30612.   25832.    5629.    8006.   16006.   12696.    6112.
  4690.    2672.   12240.   17242.    5046.   12749.    4226.    3366.
  3021.    5708.    9639.    9282.   13178.    4642.    5964.   18751.
  3794.    8086.  ]",1,0
621e310d67b776a24003096d,"[ 5610.13  5610.13  4193.    7136.    8952.    2782.    4674.    5967.
  4030.    4725.    2235.    5417.    3755.      87.    5284.    3292.
  9909.    9615.   10244.    2017.    2608.   13075.    4579.       0.
  4918.   10053.    3326.    4019.    2369.    7486.    4997.    6134.
  6185.    3929.    7378.    5728.    4809.    8166.    6358.    7880.
  5610.13  3818.    8782.    5232.    4778.    6474.    6645.    4277.
   172.    5610.13  3109.    3439.    5575.    8049.    4021.   20924.
  9500.    1242.    5610.13 19897.    7464.    5610.13  4347.    3795.
  6363.    8522.  ]",1,0
621e312a67b776a240164d59,"[ 7134.54  1254.    9961.    5842.   14981.    5665.    6611.     293.
  5624.    4054.    5695.   15470.    5123.    3502.    2904.    3963.
 14093.   13175.    8027.    5240.    3983.    4338.    6228.    7083.
 15084.    9794.   14731.    6515.    6017.    7559.    4433.   10908.
 13889.    6361.    4035.    4692.    7062.   13125.   18122.   11149.
  3625.    8639.    4662.    6682.    7431.   25600.   11026.    7085.
  7956.    5730.    6426.   13855.   11306.   14388.    6785.    4220.
  9083.    9007.   11225.     246.    7134.54  7134.54  7134.54  7134.54
  7134.54  7134.54]",1,0
621e314867b776a24029ebf9,"[ 7436.    2827.     731.    2104.       0.       0.      80.    1671.
  1791.    2237.    2696.    6231.   13296.    1421.    1985.    4859.
  2992.   12409.    2151.   17734.    9745.    9526.    2775.    6648.32
  6648.32  6648.32  6648.32  6648.32  6648.32  6648.32  2207.    4742.
  7485.    9162.     777.    6417.    2602.    3303.    2480.    5879.
 14184.    8163.    8381.     575.    6648.32  6648.32   586.   13505.
 14630.    9525.    7999.   10655.    8995.    7912.   31571.   11736.
  8696.   10182.    3508.    5486.    1533.   11762.   11130.    7008.
  7312.    6042.  ]",1,1
