specificity_target,threshold_train,sensitivity,specificity,PPV_at_pi,TP_per_100k,FP_per_100k,referrals_per_100k,split
0.97,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
0.98,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
0.99,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
0.995,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
0.999,0.8292807929512569,0.9999999999998571,0.039999999999998405,0.0026038954275565416,249.99999999996427,95760.00000000016,96010.00000000013,12
0.95,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.97,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.98,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.99,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.995,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.999,0.6498776692724059,0.8571428571427346,0.07999999999999681,0.0023295904579946113,214.28571428568367,91770.00000000032,91984.285714286,13
0.95,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
0.97,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
0.98,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
0.99,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
0.995,0.6531426894741768,0.8333333333331945,0.11999999999999521,0.0023677381470997385,208.3333333332986,87780.00000000048,87988.33333333378,14
