specificity_target,threshold_train,sensitivity,specificity,PPV_at_pi,TP_per_100k,FP_per_100k,referrals_per_100k,split
0.995,0.8475265912064855,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,12
0.999,0.8475265912064855,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,12
0.8,0.7756636080963166,0.14285714285712245,0.8399999999999664,0.002232740912729741,35.714285714280614,15960.000000003347,15995.714285717628,13
0.95,0.8325780369768023,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,13
0.97,0.8325780369768023,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,13
0.98,0.8325780369768023,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,13
0.99,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,13
0.995,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,13
0.999,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,13
0.8,0.7802521858596436,0.16666666666663887,0.8799999999999648,0.003468849729399252,41.666666666659715,11970.00000000351,12011.666666670171,14
0.95,0.837168615327656,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,14
0.97,0.837168615327656,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,14
0.98,0.837168615327656,0.0,0.9599999999999617,0.0,0.0,3990.0000000038244,3990.0000000038244,14
0.99,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,14
0.995,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,14
0.999,inf,0.0,0.99999999999996,0.0,0.0,3.986810881428937e-09,3.986810881428937e-09,14
0.8,0.7626665074128458,0.0,0.7499999999999732,0.0,0.0,24937.50000000267,24937.50000000267,15
0.95,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.97,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.98,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.99,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.995,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.999,0.8201967137275403,0.0,0.9999999999999644,0.0,0.0,3.5549063692741356e-09,3.5549063692741356e-09,15
0.8,0.7964565612041359,0.0,0.9230769230768876,0.0,0.0,7673.076923080462,7673.076923080462,16
0.95,0.8446586914339165,0.0,0.9999999999999616,0.0,0.0,3.831768236040034e-09,3.831768236040034e-09,16
